BINOMIAL,CITATION,CLASS,ORDER,FAMILY,GENUS,TSN,IUCN_ID,COMMON,IUCN_STATUS
Ateles fusciceps,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,ATELIDAE,Ateles,572957,135446,Brown-headed Spider Monkey,CR
Brachyteles arachnoides,Biodiversitas Brazil,MAMMALIA,PRIMATES,ATELIDAE,Brachyteles,572959,2993,Woolly Spider Monkey,EN
Brachyteles hypoxanthus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,ATELIDAE,Brachyteles,572959,2994,Northern Muriqui,CR
Lagothrix lagotricha,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,ATELIDAE,Lagothrix,572960,11175,Humboldt's Woolly Monkey,VU
Lagothrix cana,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,ATELIDAE,Lagothrix,572960,39925,Geoffroy'S/peruvian Woolly Monkey,EN
Lagothrix lugens,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,ATELIDAE,Lagothrix,572960,39926,Colombian Woolly Monkey,CR
Lagothrix poeppigii,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,ATELIDAE,Lagothrix,572960,39927,Poeppig's Woolly Monkey,VU
Oreonax flavicauda,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,ATELIDAE,Oreonax,572961,39924,Peruvian Yellow-tailed Woolly Monkey,CR
Callibella humilis,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Callibella,944124,41584,Black-crowned Dwarf Marmoset,VU
Callimico goeldii,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Callimico,572909,3564,Goeldi’s Monkey,VU
Callithrix aurita,Biodiversitas Brazil,MAMMALIA,PRIMATES,CALLITRICHIDAE,Callithrix,572911,3570,Buffy-tufted-ear Marmoset,VU
Callithrix flaviceps,Biodiversitas Brazil,MAMMALIA,PRIMATES,CALLITRICHIDAE,Callithrix,572912,3571,Buffy-headed Marmoset,EN
Callithrix geoffroyi,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Callithrix,572913,3572,Geoffroy’s Tufted-ear Marmoset,LC
Callithrix kuhlii,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Callithrix,572916,3575,Wied's Black-tufted-ear Marmoset,NT
Callithrix jacchus,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Callithrix,572915,41518,White-tufted-ear Marmoset,LC
Callithrix penicillata,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Callithrix,572918,41519,Black-tufted-ear Marmoset,LC
Cebuella pygmaea,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Cebuella,944123,41535,Pygmy Marmoset,LC
Leontopithecus caissara,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Leontopithecus,572921,11503,Black-faced Lion Tamarin,CR
Leontopithecus chrysopygus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Leontopithecus,572920,11505,Golden-rumped Lion Tamarin,EN
Leontopithecus rosalia,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Leontopithecus,572922,11506,Golden Lion Tamarin,EN
Leontopithecus chrysomelas,Biodiversitas Brazil,MAMMALIA,PRIMATES,CALLITRICHIDAE,Leontopithecus,572919,40643,Golden-headed Lion Tamarin,EN
Mico chrysoleucus,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944136,39910,Golden-white Tassel-ear Marmoset,DD
Mico intermedius,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944129,39911,Aripuanã Marmoset,LC
Mico leucippe,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944126,39912,Golden-white Bare-ear Marmoset,VU
Mico nigriceps,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944131,39913,Black-headed Marmoset,DD
Mico marcai,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944132,39914,Marca’s Marmoset,DD
Mico argentatus,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944125,41520,Silvery Marmoset,LC
Mico humeralifer,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944138,41521,Black And White Tassel-ear Marmoset,DD
Mico acariensis,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944134,41580,Rio Acarí Marmoset,DD
Mico manicorensis,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944133,41582,Manicoré Marmoset,LC
Mico mauesi,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944135,41583,Maués Marmoset,LC
Mico emiliae,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944127,42691,Snethlage’s Marmoset,DD
Mico saterei,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944137,42692,Sateré Marmoset,LC
Mico melanurus,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944128,136294,Black-tailed Marmoset,LC
Mico rondoni,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Mico,944130,136804,Rondon’s Marmoset,VU
Saguinus leucopus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572929,19819,Silvery-brown Tamarin,EN
Saguinus oedipus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572933,19823,Cotton-headed Tamarin,CR
Saguinus tripartitus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572934,19824,Golden-mantle Saddleback Tamarin,NT
Saguinus nigricollis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572932,39945,Black Mantle Tamarin,LC
Saguinus fuscicollis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572924,39947,Saddleback Tamarin,LC
Saguinus imperator,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572926,39948,Emperor Tamarin,LC
Saguinus bicolor,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572923,40644,Brazilian Bare-faced Tamarin,EN
Saguinus geoffroyi,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572925,41522,Geoffroy’s Tamarin,LC
Saguinus inustus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572927,41523,Mottled-face Tamarin,LC
Saguinus labiatus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572928,41524,Red-chested Mustached Tamarin,LC
Saguinus midas,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572930,41525,Golden-handed Tamarin,LC
Saguinus mystax,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572931,41526,Moustached Tamarin,LC
Saguinus niger,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572930,42694,Black-handed Tamarin,VU
Saguinus martinsi,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572923,42695,Martin'S/ochraceous Bare-face Tamarin,LC
Saguinus melanoleucus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Saguinus,572924,135429,White/crandall's Saddleback Tamarin,LC
Cebus xanthosternos,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572976,4074,Yellow-breasted Capuchin,CR
Cebus apella,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572976,39949,Guianan/margarita Island Brown Capuchin,LC
Cebus albifrons,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572975,39950,White-fronted Capuchin,LC
Cebus kaapori,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572978,40019,Ka’apor Capuchin,CR
Cebus capucinus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572977,40020,White-throated Capuchin,LC
Cebus olivaceus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572978,40021,Weeper Capuchin,LC
Cebus macrocephalus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572976,42696,Large-headed Capuchin,LC
Cebus robustus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572976,42697,Robust Tufted Capuchin,EN
Cebus flavius,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572976,136253,Blonde Capuchin,CR
Cebus libidinosus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572976,136346,Bearded Capuchin,LC
Cebus cay,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572976,136366,Azaras’s Capuchin,LC
Cebus nigritus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Cebus,572976,136717,Black-horned Capuchin,NT
Saimiri oerstedii,IUCN (International Union for the Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Saimiri,572980,19836,Black-crowned Central American Squirrel Monkey,VU
Saimiri vanzolinii,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Saimiri,572982,19839,Black-headed Squirrel Monkey,VU
Saimiri boliviensis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Saimiri,572979,41536,Bolivian/peruvian Squirrel Monkey,LC
Saimiri sciureus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Saimiri,180095,41537,South American Squirrel Monkey,LC
Saimiri ustus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CEBIDAE,Saimiri,572981,41538,Golden-backed Squirrel Monkey,NT
Allenopithecus nigroviridis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Allenopithecus,572992,865,Allen's Swamp Monkey,LC
Cercocebus galeritus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,572994,4200,Tana River Crested Mangabey,EN
Cercocebus torquatus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,572995,4201,White-collared Mangabey,VU
Cercocebus sanjei,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,572994,4203,Sanje Mangabey,EN
Cercocebus atys,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,572995,4205,Sooty/white-naped Mangabey,VU
Cercocebus chrysogaster,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,572993,4207,Golden-bellied Mangabey,DD
Cercocebus agilis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,572993,136615,Agile Mangabey,LC
Cercopithecus ascanius,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,572996,4212,Red-tailed Monkey,LC
Cercopithecus campbelli,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,572997,4213,Campbell's Monkey,LC
Cercopithecus cephus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,572998,4214,Moustached Monkey,LC
Cercopithecus diana,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,572999,4215,Diana/roloway Monkey,VU
Cercopithecus dryas,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573000,4216,Dryad Monkey,CR
Cercopithecus erythrogaster,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573001,4217,White-throated Monkey,VU
Cercopithecus erythrotis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573002,4218,Red-eared Monkey,VU
Cercopithecus hamlyni,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573003,4219,Owl-faced Monkey,VU
Cercopithecus lhoesti,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573004,4220,L’hoest’s Monkey,VU
Cercopithecus mitis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573005,4221,Blue Monkey,LC
Cercopithecus mona,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573006,4222,Mona Monkey,LC
Cercopithecus neglectus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573007,4223,De Brazza’s Monkey,LC
Cercopithecus nictitans,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573008,4224,Putty-nosed Monkey,LC
Cercopithecus petaurista,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573009,4225,Lesser Spot-nosed Monkey,LC
Cercopithecus pogonias,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573010,4226,Crowned Monkey,LC
Cercopithecus preussi,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573012,4227,Preuss’s Monkey,EN
Cercopithecus sclateri,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573014,4229,Sclater's Monkey,VU
Cercopithecus solatus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,573013,4230,Sun-tailed Monkey,VU
Chlorocebus aethiops,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Chlorocebus,552515,4233,Grivet Monkey,LC
Chlorocebus djamdjamensis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Chlorocebus,552515,4240,Bale Monkey,VU
Chlorocebus tantalus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Chlorocebus,552515,136208,Tantalus Monkey,LC
Chlorocebus sabaeus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Chlorocebus,552515,136265,Green Monkey,LC
Chlorocebus pygerythrus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Chlorocebus,552515,136271,Vervet,LC
Chlorocebus cynosuros,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Chlorocebus,552515,136291,Malbrouck Monkey,LC
Colobus angolensis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Colobus,573035,5142,Angola Colobus,LC
Colobus guereza,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Colobus,573036,5143,Guereza,LC
Colobus polykomos,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Colobus,573037,5144,King Colobus,VU
Colobus satanas,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Colobus,573038,5145,Black Colobus,VU
Colobus vellerosus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Colobus,573037,5146,White-thighed Colobus,VU
Erythrocebus patas,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Erythrocebus,573015,8073,Patas Monkey,LC
Lophocebus albigena,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Lophocebus,573016,12309,Grey-cheeked Mangabey,LC
Lophocebus aterrimus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Lophocebus,573016,12310,Black Mangabey,NT
Macaca arctoides,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573017,12548,Stump-tailed Macaque,VU
Macaca assamensis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573018,12549,Assam Macaque,NT
Macaca cyclopis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573019,12550,Formosan Rock Macaque,LC
Macaca fascicularis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,180098,12551,Crab-eating Macaque,LC
Macaca fuscata,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,555659,12552,Japanese Macaque,LC
Macaca maura,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573020,12553,Moor Macaque,EN
Macaca mulatta,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,180099,12554,Rhesus Monkey,LC
Macaca nemestrina,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573021,12555,Southern Pig-tailed Macaque,VU
Macaca nigra,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573022,12556,Celebes Crested Macaque,CR
Macaca ochreata,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573023,12557,Booted Macaque,VU
Macaca radiata,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573024,12558,Bonnet Macaque,LC
Macaca silenus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573025,12559,Lion-tailed Macaque,EN
Macaca sinica,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573026,12560,Toque Macaque,EN
Macaca sylvanus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573027,12561,Barbary Macaque,EN
Macaca thibetana,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573028,12562,Milne-edwards’ Macaque,NT
Macaca tonkeana,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573029,12563,Tonkean Macaque,VU
Macaca nigrescens,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573022,12568,Gorontalo Macaque,VU
Macaca hecki,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573029,12570,Heck's Macaque,VU
Macaca leonina,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573021,39792,Northern Pig-tailed Macaque,VU
Macaca pagensis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573021,39794,Pagai Island Macaque,CR
Macaca siberu,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,573021,39795,Siberut Macaque,VU
Macaca munzala,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,625060,136569,Arunachal Macaque,EN
Mandrillus leucophaeus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Mandrillus,573030,12753,Drill,EN
Mandrillus sphinx,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Mandrillus,573031,12754,Mandrill,VU
Miopithecus talapoin,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Miopithecus,573032,13572,Southern Talapoin Monkey,LC
Miopithecus ogouensis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Miopithecus,573032,41570,Northern Talapoin Monkey,LC
Nasalis larvatus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Nasalis,573040,14352,Proboscis Monkey,EN
Papio papio,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Papio,573033,16018,Guinea Baboon,NT
Papio hamadryas,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Papio,573033,16019,Hamadryas Baboon,LC
Papio cynocephalus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Papio,573033,16021,Yellow Baboon,LC
Papio ursinus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Papio,573033,16022,Chacma Baboon,LC
Papio anubis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Papio,573033,40647,Olive Baboon,LC
Presbytis comata,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,573041,18125,Javan Surili,EN
Presbytis femoralis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,573042,18126,Banded Surili,NT
Presbytis frontata,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,573043,18127,White-fronted Langur,VU
Presbytis hosei,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,573044,18128,Hose’s Langur,VU
Presbytis melalophos,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,573045,18129,Sumatran Surili,EN
Presbytis potenziani,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,573046,18130,Mentawai Langur,EN
Presbytis rubicunda,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,573047,18131,Maroon Leaf Monkey,LC
Presbytis thomasi,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,573048,18132,Thomas’s Langur,VU
Presbytis siamensis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,573042,18134,White-thighed Surili,NT
Presbytis chrysomelas,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,573042,39803,Sarawak Surili,CR
Presbytis natunae,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,573042,136500,Natuna Island Surili,VU
Procolobus badius,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,573049,18240,West African Red Colobus,EN
Procolobus verus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,573053,18245,Olive Colobus,NT
Procolobus kirkii,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,573050,39992,Zanzibar Red Colobus,EN
Procolobus rufomitratus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,573052,39993,Tana River Red Colobus,LC
Procolobus pennantii,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,573050,39996,Pennant's Red Colobus,CR
Procolobus gordonorum,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,573049,40015,Udzungwa Red Colobus,EN
Procolobus preussi,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,573051,41026,Preuss’s Red Colobus,CR
Pygathrix nemaeus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Pygathrix,573057,39826,Red-shanked Douc Langur,EN
Pygathrix cinerea,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Pygathrix,573057,39827,Grey-shanked Douc Langur,CR
Pygathrix nigripes,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Pygathrix,573057,39828,Black-shanked Douc Langur,EN
Rhinopithecus avunculus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,573054,19594,Tonkin Snub-nosed Monkey,CR
Rhinopithecus brelichi,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,573056,19595,Grey Snub-nosed Monkey,EN
Rhinopithecus roxellana,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,573058,19596,Golden Snub-nosed Monkey,EN
Rhinopithecus bieti,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,573055,19597,Black Snub-nosed Monkey,EN
Rhinopithecus strykeri,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,625060,13508501,Myanmar Snub-nosed Monkey,CR
Rungwecebus kipunji,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rungwecebus,676820,136791,Kipunji,CR
Semnopithecus entellus,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Semnopithecus,573059,39832,Northern Plains Gray Langur,LC
Semnopithecus ajax,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Semnopithecus,573059,39833,Kashmir Gray Langur,EN
Semnopithecus dussumieri,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Semnopithecus,573059,39835,Southern Plains Gray Langur,LC
Semnopithecus hector,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Semnopithecus,573059,39837,Tarai Gray Langur,NT
